NPD_ID,Noise Metric,Op Mode,Power Setting,L_200ft,L_400ft,L_630ft,L_1000ft,L_2000ft,L_4000ft,L_6300ft,L_10000ft,L_16000ft,L_25000ft
7879,PNLTM,A,16000,108.0,100.4,95.3,89.3,80.3,70.7,63.7,56.0,48.2,40.8
7879,PNLTM,D,24000,108.6,101.4,96.3,90.4,80.3,70.3,62.9,54.7,46.4,38.5
7879,PNLTM,D,32200,111.4,104.2,99.2,93.5,83.9,73.7,66.5,58.4,50.3,42.7
7879,PNLTM,D,40400,113.7,106.6,101.6,95.9,86.6,76.5,69.4,61.5,53.6,46.1
7879,PNLTM,D,48600,115.7,108.6,103.6,98.0,88.8,78.8,71.8,64.2,56.4,49.1
7879,PNLTM,D,56800,117.6,110.3,105.4,99.7,90.6,80.9,74.0,66.5,58.9,51.8
7879,PNLTM,D,65000,119.5,112.2,107.1,101.5,92.3,83.0,76.2,68.9,61.5,54.6
A320-270N,EPNL,A,1500,93.7,89.2,85.8,82.1,75.9,68.4,62.8,55.6,46.3,32.3
A320-270N,EPNL,A,3000,94.8,90.1,86.6,83.0,76.8,68.9,63.3,56.3,47.1,33.1
A320-270N,EPNL,A,4500,96.1,91.3,87.7,83.9,77.8,70.0,64.4,57.7,48.9,36.2
A320-270N,EPNL,A,9000,98.8,94.0,90.3,86.3,79.8,72.0,66.2,59.3,50.3,38.4
A320-270N,EPNL,D,10000,99.5,94.4,90.7,86.4,79.7,71.8,66.0,58.9,49.6,37.4
A320-270N,EPNL,D,15000,102.1,96.9,93.2,88.9,82.1,74.4,68.7,62.1,53.2,42.5
A320-270N,EPNL,D,20000,105.2,99.6,95.8,91.6,85.4,78.1,72.8,66.6,58.5,48.2
A320-270N,EPNL,D,25000,108.2,102.5,98.9,94.9,88.7,80.9,75.8,69.7,62.4,53.5
A320-270N,EPNL,D,30000,109.4,103.7,100.1,96.3,90.2,82.7,77.7,71.8,64.5,56.1
A320-270N,LAmax,A,1500,88.8,82.2,77.6,72.8,65.1,56.5,50.2,43.2,35.3,27.2
A320-270N,LAmax,A,3000,89.7,83.0,78.4,73.5,65.8,57.1,50.8,43.6,35.6,27.3
A320-270N,LAmax,A,4500,90.9,83.9,79.1,74.2,66.4,57.8,51.5,44.4,36.3,27.9
A320-270N,LAmax,A,9000,94.4,87.4,82.5,77.6,69.7,60.9,54.4,46.8,38.0,29.1
A320-270N,LAmax,D,10000,94.9,87.6,82.7,77.6,69.5,60.7,54.1,46.3,37.7,28.9
A320-270N,LAmax,D,15000,97.6,90.3,85.4,80.2,72.1,62.9,56.3,48.6,39.9,31.2
A320-270N,LAmax,D,20000,100.6,93.5,88.8,83.9,75.8,67.1,60.4,52.6,43.7,34.5
A320-270N,LAmax,D,25000,103.7,96.3,91.3,86.1,77.5,68.8,62.5,55.2,46.7,38.0
A320-270N,LAmax,D,30000,104.9,97.5,92.7,87.5,79.0,70.4,63.9,56.7,48.5,39.8
A320-270N,PNLTM,A,1500,101.6,94.6,89.5,83.8,75.5,65.6,58.7,50.8,40.7,27.2
A320-270N,PNLTM,A,3000,103.5,96.1,90.9,85.7,77.4,66.0,59.1,51.1,41.0,27.6
A320-270N,PNLTM,A,4500,105.3,97.8,92.2,86.8,78.4,67.3,60.6,52.6,42.5,30.1
A320-270N,PNLTM,A,9000,107.8,100.4,94.9,89.5,80.7,70.2,62.8,54.0,43.8,31.6
A320-270N,PNLTM,D,10000,108.1,100.9,95.7,89.6,80.5,70.3,62.2,53.5,43.5,31.4
A320-270N,PNLTM,D,15000,112.4,104.9,99.6,93.6,83.8,73.6,66.0,57.1,46.4,34.5
A320-270N,PNLTM,D,20000,115.9,108.3,103.1,97.3,88.2,78.2,71.1,62.8,52.0,39.3
