ACFT_ID,Profile_ID,Step Number,Step Type,Flap_ID,Start Altitude(ft),Start CAS (kt),Descent Angle (deg),Touchdown Roll (ft),Distance (ft),Start Thrust
ERJ190-300,VISUAL,2,Descend-Idle,F1-UP,2151,172.4,2.128476612,,,
ERJ190-300,VISUAL,3,Descend-Idle,F2-UP,1932,162.9,2.418928471,,,
ERJ190-300,VISUAL,4,Descend-Idle,F3-DN,1260,135.2,2.932795204,,,
ERJ190-300,VISUAL,5,Descend,F5-DN,1103,131.2,2.991900399,,,
ERJ190-300,VISUAL,6,Land,F5-DN,,,,657.5907268,,
ERJ190-300,VISUAL,7,Decelerate,F5-DN,,118.3,,,1855,40
ERJ190-300,VISUAL,8,Decelerate,F5-DN,,30.0,,,0,10
ERJ190-300,DEFAULT,1,Descend-Idle,F0-UP,6000,250.0,2.218034067,,,
ERJ190-300,DEFAULT,2,Descend-Idle,F1-UP,1706,175.6,2.678037071,,,
ERJ190-300,DEFAULT,3,Level,F1-UP,1500,171.4,,,4578,
ERJ190-300,DEFAULT,4,Level,F2-UP,1500,162.3,,,16002,
ERJ190-300,DEFAULT,5,Level,F3-DN,1500,136.0,,,3309,
ERJ190-300,DEFAULT,6,Descend,F5-DN,1500,131.2,2.972488636,,,
ERJ190-300,DEFAULT,7,Land,F5-DN,,,,657.5907268,,
ERJ190-300,DEFAULT,8,Decelerate,F5-DN,,118.3,,,1855,40
ERJ190-300,DEFAULT,9,Decelerate,F5-DN,,30.0,,,0,10
ERJ190-400,VISUAL,1,Descend-Idle,F0-UP,6000,250.0,2.241424317,,,
ERJ190-400,VISUAL,2,Descend-Idle,F1-UP,2317,176.2,2.204665217,,,
ERJ190-400,VISUAL,3,Descend-Idle,F2-UP,2192,171.2,2.472829307,,,
ERJ190-400,VISUAL,4,Descend-Idle,F3-DN,1427,142.3,2.790642924,,,
ERJ190-400,VISUAL,5,Descend,F5-DN,1264,137.8,2.846183119,,,
ERJ190-400,VISUAL,6,Land,F5-DN,,,,747.7098622,,
ERJ190-400,VISUAL,7,Decelerate,F5-DN,,123.5,,,1996,40
ERJ190-400,VISUAL,8,Decelerate,F5-DN,,30.0,,,0,10
ERJ190-400,DEFAULT,1,Descend-Idle,F0-UP,6000,250.0,2.419972838,,,
ERJ190-400,DEFAULT,2,Descend-Idle,F1-UP,1634,185.0,2.828101739,,,
ERJ190-400,DEFAULT,3,Level,F1-UP,1500,182.9,,,6311,
ERJ190-400,DEFAULT,4,Level,F2-UP,1500,170.4,,,18078,
ERJ190-400,DEFAULT,5,Level,F3-DN,1500,143.2,,,4000,
ERJ190-400,DEFAULT,6,Descend,F5-DN,1500,137.8,2.829932436,,,
ERJ190-400,DEFAULT,7,Land,F5-DN,,,,747.7098622,,
ERJ190-400,DEFAULT,8,Decelerate,F5-DN,,123.5,,,1996,40
ERJ190-400,DEFAULT,9,Decelerate,F5-DN,,30.0,,,0,10
FAL900EX,DEFAULT,1,Descend,SF0,10000,250.0,3,,,
FAL900EX,DEFAULT,1,Descend,SF0-AB,6000,220.0,3,,,
FAL900EX,DEFAULT,2,Descend,SF1,5000,190.0,3,,,
FAL900EX,DEFAULT,3,Descend,SF3-D,3500,159.0,3,,,
FAL900EX,DEFAULT,4,Descend,SF3-D,3000,134.2,3,,,
FAL900EX,DEFAULT,5,Descend,SF3-D,50,134.2,3,,,
FAL900EX,DEFAULT,6,Land,SF3-D,,,,259,,
FAL900EX,DEFAULT,7,Decelerate,,,120.0,,,2331,0
FAL900EX,DEFAULT,8,Decelerate,,,30.0,,,0,0
