ACFT_ID,Profile_ID,Stage Length,Step Number,Step Type,Thrust Rating,Flap_ID,End Point Altitude (ft),Rate Of Climb (ft/min),End Point CAS (kt),Accel Percentage (%)
7879,ICAO_B,3,3,Accelerate,MaxTakeoff,T_01,,2079.0,208.0,55
7879,ICAO_B,3,4,Accelerate,MaxTakeoff,T_01,,2242.0,229.0,55
7879,ICAO_B,3,5,Climb,MaxClimb,T_00,3000,,,
7879,ICAO_B,3,6,Accelerate,MaxClimb,T_00,,1754.0,250.0,60
7879,ICAO_B,3,7,Climb,MaxClimb,T_00,5500,,,
7879,ICAO_B,3,8,Climb,MaxClimb,T_00,7500,,,
7879,ICAO_B,3,9,Climb,MaxClimb,T_00,10000,,,
7879,ICAO_B,4,1,Takeoff,MaxTakeoff,T_05,,,,
7879,ICAO_B,4,2,Climb,MaxTakeoff,T_05U,1000,,,
7879,ICAO_B,4,3,Accelerate,MaxTakeoff,T_01,,1976.0,213.0,55
7879,ICAO_B,4,4,Accelerate,MaxTakeoff,T_01,,2140.0,233.0,55
7879,ICAO_B,4,5,Climb,MaxClimb,T_00,3000,,,
7879,ICAO_B,4,6,Accelerate,MaxClimb,T_00,,1657.0,250.0,60
7879,ICAO_B,4,7,Climb,MaxClimb,T_00,5500,,,
7879,ICAO_B,4,8,Climb,MaxClimb,T_00,7500,,,
7879,ICAO_B,4,9,Climb,MaxClimb,T_00,10000,,,
7879,ICAO_B,5,1,Takeoff,MaxTakeoff,T_05,,,,
7879,ICAO_B,5,2,Climb,MaxTakeoff,T_05U,1000,,,
7879,ICAO_B,5,3,Accelerate,MaxTakeoff,T_01,,1870.0,220.0,55
7879,ICAO_B,5,4,Accelerate,MaxTakeoff,T_01,,2033.0,242.0,55
7879,ICAO_B,5,5,Climb,MaxClimb,T_00,3000,,,
7879,ICAO_B,5,6,Accelerate,MaxClimb,T_00,,1558.0,250.0,60
7879,ICAO_B,5,7,Climb,MaxClimb,T_00,5500,,,
7879,ICAO_B,5,8,Climb,MaxClimb,T_00,7500,,,
7879,ICAO_B,5,9,Climb,MaxClimb,T_00,10000,,,
7879,ICAO_B,6,1,Takeoff,MaxTakeoff,T_05,,,,
7879,ICAO_B,6,2,Climb,MaxTakeoff,T_05U,1000,,,
7879,ICAO_B,6,3,Accelerate,MaxTakeoff,T_01,,1770.0,226.0,55
7879,ICAO_B,6,4,Accelerate,MaxTakeoff,T_01,,1928.0,249.0,55
7879,ICAO_B,6,5,Climb,MaxClimb,T_00,3000,,,
7879,ICAO_B,6,6,Accelerate,MaxClimb,T_00,,1455.0,250.0,60
7879,ICAO_B,6,7,Climb,MaxClimb,T_00,5500,,,
7879,ICAO_B,6,8,Climb,MaxClimb,T_00,7500,,,
7879,ICAO_B,6,9,Climb,MaxClimb,T_00,10000,,,
7879,ICAO_B,7,1,Takeoff,MaxTakeoff,T_05,,,,
7879,ICAO_B,7,2,Climb,MaxTakeoff,T_05U,1000,,,
7879,ICAO_B,7,3,Accelerate,MaxTakeoff,T_01,,1667.0,233.0,55
7879,ICAO_B,7,4,Accelerate,MaxTakeoff,T_01,,1811.0,256.0,55
7879,ICAO_B,7,5,Climb,MaxClimb,T_00,3000,,,
7879,ICAO_B,7,6,Climb,MaxClimb,T_00,4000,,,
7879,ICAO_B,7,7,Climb,MaxClimb,T_00,5500,,,
7879,ICAO_B,7,8,Climb,MaxClimb,T_00,7500,,,
7879,ICAO_B,7,9,Climb,MaxClimb,T_00,10000,,,
7879,ICAO_B,8,1,Takeoff,MaxTakeoff,T_05,,,,
7879,ICAO_B,8,2,Climb,MaxTakeoff,T_05U,1000,,,
7879,ICAO_B,8,3,Accelerate,MaxTakeoff,T_01,,1542.0,237.9,55
7879,ICAO_B,8,4,Accelerate,MaxTakeoff,T_01,,1674.0,258.1,55
7879,ICAO_B,8,5,Climb,MaxClimb,T_00,3000,,,
7879,ICAO_B,8,6,Climb,MaxClimb,T_00,4000,,,
7879,ICAO_B,8,7,Climb,MaxClimb,T_00,5500,,,
7879,ICAO_B,8,8,Climb,MaxClimb,T_00,7500,,,
7879,ICAO_B,8,9,Climb,MaxClimb,T_00,10000,,,
7879,ICAO_B,M,1,Takeoff,MaxTakeoff,T_05,,,,
7879,ICAO_B,M,2,Climb,MaxTakeoff,T_05U,1000,,,
7879,ICAO_B,M,3,Accelerate,MaxTakeoff,T_01,,1462.0,238.0,55
7879,ICAO_B,M,4,Accelerate,MaxTakeoff,T_01,,1590.0,258.1,55
7879,ICAO_B,M,5,Climb,MaxClimb,T_00,3000,,,
7879,ICAO_B,M,6,Climb,MaxClimb,T_00,4000,,,
7879,ICAO_B,M,7,Climb,MaxClimb,T_00,5500,,,
7879,ICAO_B,M,8,Climb,MaxClimb,T_00,7500,,,
7879,ICAO_B,M,9,Climb,MaxClimb,T_00,10000,,,
7879,DEFAULT,1,1,Takeoff,MaxTakeoff,T_05,,,,
7879,DEFAULT,1,2,Climb,MaxTakeoff,T_05U,1000,,,
7879,DEFAULT,1,3,Accelerate,MaxClimb,T_01,,1774.0,203.0,55
7879,DEFAULT,1,4,Accelerate,MaxClimb,T_00,,1944.0,225.0,55
7879,DEFAULT,1,5,Climb,MaxClimb,T_00,3000,,,
7879,DEFAULT,1,6,Accelerate,MaxClimb,T_00,,1861.0,250.0,60
7879,DEFAULT,1,7,Climb,MaxClimb,T_00,5500,,,
7879,DEFAULT,1,8,Climb,MaxClimb,T_00,7500,,,
7879,DEFAULT,1,9,Climb,MaxClimb,T_00,10000,,,
7879,DEFAULT,2,1,Takeoff,MaxTakeoff,T_05,,,,
7879,DEFAULT,2,2,Climb,MaxTakeoff,T_05U,1000,,,
7879,DEFAULT,2,3,Accelerate,MaxClimb,T_01,,1719.0,205.0,55
7879,DEFAULT,2,4,Accelerate,MaxClimb,T_00,,1887.0,227.0,55
7879,DEFAULT,2,5,Climb,MaxClimb,T_00,3000,,,
7879,DEFAULT,2,6,Accelerate,MaxClimb,T_00,,1807.0,250.0,60
7879,DEFAULT,2,7,Climb,MaxClimb,T_00,5500,,,
7879,DEFAULT,2,8,Climb,MaxClimb,T_00,7500,,,
7879,DEFAULT,2,9,Climb,MaxClimb,T_00,10000,,,
7879,DEFAULT,3,1,Takeoff,MaxTakeoff,T_05,,,,
7879,DEFAULT,3,2,Climb,MaxTakeoff,T_05U,1000,,,
7879,DEFAULT,3,3,Accelerate,MaxClimb,T_01,,1681.0,208.0,55
7879,DEFAULT,3,4,Accelerate,MaxClimb,T_00,,1834.0,229.0,55
7879,DEFAULT,3,5,Climb,MaxClimb,T_00,3000,,,
7879,DEFAULT,3,6,Accelerate,MaxClimb,T_00,,1750.0,250.0,60
7879,DEFAULT,3,7,Climb,MaxClimb,T_00,5500,,,
7879,DEFAULT,3,8,Climb,MaxClimb,T_00,7500,,,
7879,DEFAULT,3,9,Climb,MaxClimb,T_00,10000,,,
7879,DEFAULT,4,1,Takeoff,MaxTakeoff,T_05,,,,
7879,DEFAULT,4,2,Climb,MaxTakeoff,T_05U,1000,,,
7879,DEFAULT,4,3,Accelerate,MaxClimb,T_01,,1602.0,213.0,55
7879,DEFAULT,4,4,Accelerate,MaxClimb,T_00,,1758.0,233.0,55
7879,DEFAULT,4,5,Climb,MaxClimb,T_00,3000,,,
7879,DEFAULT,4,6,Accelerate,MaxClimb,T_00,,1662.0,250.0,60
7879,DEFAULT,4,7,Climb,MaxClimb,T_00,5500,,,
7879,DEFAULT,4,8,Climb,MaxClimb,T_00,7500,,,
7879,DEFAULT,4,9,Climb,MaxClimb,T_00,10000,,,
7879,DEFAULT,5,1,Takeoff,MaxTakeoff,T_05,,,,
7879,DEFAULT,5,2,Climb,MaxTakeoff,T_05U,1000,,,
7879,DEFAULT,5,3,Accelerate,MaxClimb,T_01,,1512.0,219.0,55
7879,DEFAULT,5,4,Accelerate,MaxClimb,T_00,,1677.0,241.0,55
7879,DEFAULT,5,5,Climb,MaxClimb,T_00,3000,,,
7879,DEFAULT,5,6,Accelerate,MaxClimb,T_00,,1555.0,250.0,60
7879,DEFAULT,5,7,Climb,MaxClimb,T_00,5500,,,
7879,DEFAULT,5,8,Climb,MaxClimb,T_00,7500,,,
7879,DEFAULT,5,9,Climb,MaxClimb,T_00,10000,,,
7879,DEFAULT,6,1,Takeoff,MaxTakeoff,T_05,,,,
7879,DEFAULT,6,2,Climb,MaxTakeoff,T_05U,1000,,,
7879,DEFAULT,6,3,Accelerate,MaxClimb,T_01,,1424.0,226.0,55
7879,DEFAULT,6,4,Accelerate,MaxClimb,T_00,,1588.0,249.0,55
7879,DEFAULT,6,5,Climb,MaxClimb,T_00,3000,,,
7879,DEFAULT,6,6,Accelerate,MaxClimb,T_00,,1454.0,250.0,60
7879,DEFAULT,6,7,Climb,MaxClimb,T_00,5500,,,
7879,DEFAULT,6,8,Climb,MaxClimb,T_00,7500,,,
7879,DEFAULT,6,9,Climb,MaxClimb,T_00,10000,,,
7879,DEFAULT,7,1,Takeoff,MaxTakeoff,T_05,,,,
7879,DEFAULT,7,2,Climb,MaxTakeoff,T_05U,1000,,,
7879,DEFAULT,7,3,Accelerate,MaxClimb,T_01,,1335.0,233.0,55
7879,DEFAULT,7,4,Accelerate,MaxClimb,T_00,,1495.0,256.0,55
7879,DEFAULT,7,5,Climb,MaxClimb,T_00,3000,,,
7879,DEFAULT,7,6,Climb,MaxClimb,T_00,4000,,,
7879,DEFAULT,7,7,Climb,MaxClimb,T_00,5500,,,
7879,DEFAULT,7,8,Climb,MaxClimb,T_00,7500,,,
7879,DEFAULT,7,9,Climb,MaxClimb,T_00,10000,,,
7879,DEFAULT,8,1,Takeoff,MaxTakeoff,T_05,,,,
7879,DEFAULT,8,2,Climb,MaxTakeoff,T_05U,1000,,,
7879,DEFAULT,8,3,Accelerate,MaxClimb,T_01,,1243.0,238.0,55
7879,DEFAULT,8,4,Accelerate,MaxClimb,T_00,,1394.0,258.0,55
7879,DEFAULT,8,5,Climb,MaxClimb,T_00,3000,,,
7879,DEFAULT,8,6,Climb,MaxClimb,T_00,4000,,,
7879,DEFAULT,8,7,Climb,MaxClimb,T_00,5500,,,
7879,DEFAULT,8,8,Climb,MaxClimb,T_00,7500,,,
7879,DEFAULT,8,9,Climb,MaxClimb,T_00,10000,,,
7879,DEFAULT,M,1,Takeoff,MaxTakeoff,T_05,,,,
7879,DEFAULT,M,2,Climb,MaxTakeoff,T_05U,1000,,,
7879,DEFAULT,M,3,Accelerate,MaxClimb,T_01,,1162.0,238.0,55
7879,DEFAULT,M,4,Accelerate,MaxClimb,T_00,,1310.0,258.0,55
7879,DEFAULT,M,5,Climb,MaxClimb,T_00,3000,,,
7879,DEFAULT,M,6,Climb,MaxClimb,T_00,4000,,,
7879,DEFAULT,M,7,Climb,MaxClimb,T_00,5500,,,
7879,DEFAULT,M,8,Climb,MaxClimb,T_00,7500,,,
7879,DEFAULT,M,9,Climb,MaxClimb,T_00,10000,,,
A320-270N,ICAO_A,1,1,Takeoff,MaxTakeoff,D_1+F_D,,,,
A320-270N,ICAO_A,1,2,Climb,MaxTakeoff,D_1+F_U,1500,,,
A320-270N,ICAO_A,1,3,Climb,MaxClimb,D_1+F_U,3000,,,
A320-270N,ICAO_A,1,4,Accelerate,MaxClimb,D_1+F_U,,1497.2,188.4,
A320-270N,ICAO_A,1,5,Accelerate,MaxClimb,D_1_U,,1629.5,204.8,
A320-270N,ICAO_A,1,6,Accelerate,MaxClimb,D_ZERO,,1781.2,231.3,
A320-270N,ICAO_A,1,7,Accelerate,MaxClimb,D_ZERO,,1921.5,250.0,
A320-270N,ICAO_A,1,8,Climb,MaxClimb,D_ZERO,10000,,,
A320-270N,ICAO_A,2,1,Takeoff,MaxTakeoff,D_1+F_D,,,,
A320-270N,ICAO_A,2,2,Climb,MaxTakeoff,D_1+F_U,1500,,,
A320-270N,ICAO_A,2,3,Climb,MaxClimb,D_1+F_U,3000,,,
A320-270N,ICAO_A,2,4,Accelerate,MaxClimb,D_1+F_U,,1440.7,191.6,
A320-270N,ICAO_A,2,5,Accelerate,MaxClimb,D_1_U,,1569.7,207.1,
A320-270N,ICAO_A,2,6,Accelerate,MaxClimb,D_ZERO,,1712.9,232.4,
A320-270N,ICAO_A,2,7,Accelerate,MaxClimb,D_ZERO,,1847.9,250.0,
A320-270N,ICAO_A,2,8,Climb,MaxClimb,D_ZERO,10000,,,
A320-270N,ICAO_A,3,1,Takeoff,MaxTakeoff,D_1+F_D,,,,
A320-270N,ICAO_A,3,2,Climb,MaxTakeoff,D_1+F_U,1500,,,
A320-270N,ICAO_A,3,3,Climb,MaxClimb,D_1+F_U,3000,,,
A320-270N,ICAO_A,3,4,Accelerate,MaxClimb,D_1+F_U,,1385.8,194.8,
A320-270N,ICAO_A,3,5,Accelerate,MaxClimb,D_1_U,,1511.1,209.5,
A320-270N,ICAO_A,3,6,Accelerate,MaxClimb,D_ZERO,,1646.7,233.6,
A320-270N,ICAO_A,3,7,Accelerate,MaxClimb,D_ZERO,,1776.8,250.0,
A320-270N,ICAO_A,3,8,Climb,MaxClimb,D_ZERO,10000,,,
A320-270N,ICAO_A,4,1,Takeoff,MaxTakeoff,D_1+F_D,,,,
A320-270N,ICAO_A,4,2,Climb,MaxTakeoff,D_1+F_U,1500,,,
A320-270N,ICAO_A,4,3,Climb,MaxClimb,D_1+F_U,3000,,,
A320-270N,ICAO_A,4,4,Accelerate,MaxClimb,D_1+F_U,,1296.1,200.3,
A320-270N,ICAO_A,4,5,Accelerate,MaxClimb,D_1_U,,1414.5,213.7,
A320-270N,ICAO_A,4,6,Accelerate,MaxClimb,D_ZERO,,1539.0,235.8,
A320-270N,ICAO_A,4,7,Accelerate,MaxClimb,D_ZERO,,1660.6,250.0,
A320-270N,ICAO_A,4,8,Climb,MaxClimb,D_ZERO,10000,,,
A320-270N,ICAO_A,5,1,Takeoff,MaxTakeoff,D_1+F_D,,,,
A320-270N,ICAO_A,5,2,Climb,MaxTakeoff,D_1+F_U,1500,,,
A320-270N,ICAO_A,5,3,Climb,MaxClimb,D_1+F_U,3000,,,
A320-270N,ICAO_A,5,4,Accelerate,MaxClimb,D_1+F_U,,1187.5,207.2,
A320-270N,ICAO_A,5,5,Accelerate,MaxClimb,D_1_U,,1299.9,219.1,
A320-270N,ICAO_A,5,6,Accelerate,MaxClimb,D_ZERO,,1413.1,239.0,
A320-270N,ICAO_A,5,7,Accelerate,MaxClimb,D_ZERO,,1523.9,250.0,
A320-270N,ICAO_A,5,8,Climb,MaxClimb,D_ZERO,10000,,,
A320-270N,ICAO_A,M,1,Takeoff,MaxTakeoff,D_1+F_D,,,,
A320-270N,ICAO_A,M,2,Climb,MaxTakeoff,D_1+F_U,1500,,,
A320-270N,ICAO_A,M,3,Climb,MaxClimb,D_1+F_U,3000,,,
A320-270N,ICAO_A,M,4,Accelerate,MaxClimb,D_1+F_U,,1120.0,211.8,
A320-270N,ICAO_A,M,5,Accelerate,MaxClimb,D_1_U,,1229.3,222.8,
A320-270N,ICAO_A,M,6,Accelerate,MaxClimb,D_ZERO,,1336.1,241.3,
A320-270N,ICAO_A,M,7,Accelerate,MaxClimb,D_ZERO,,1439.2,250.0,
A320-270N,ICAO_A,M,8,Climb,MaxClimb,D_ZERO,10000,,,
A320-270N,ICAO_B,1,1,Takeoff,MaxTakeoff,D_1+F_D,,,,
A320-270N,ICAO_B,1,2,Climb,MaxTakeoff,D_1+F_U,1000,,,
A320-270N,ICAO_B,1,3,Accelerate,MaxTakeoff,D_1+F_U,,1686.5,188.5,
A320-270N,ICAO_B,1,4,Accelerate,MaxTakeoff,D_1_U,,1840.1,207.9,
A320-270N,ICAO_B,1,5,Climb,MaxClimb,D_1_U,3000,,,
A320-270N,ICAO_B,1,6,Accelerate,MaxClimb,D_ZERO,,1925.4,250.0,
A320-270N,ICAO_B,1,7,Climb,MaxClimb,D_ZERO,10000,,,
A320-270N,ICAO_B,2,1,Takeoff,MaxTakeoff,D_1+F_D,,,,
A320-270N,ICAO_B,2,2,Climb,MaxTakeoff,D_1+F_U,1000,,,
A320-270N,ICAO_B,2,3,Accelerate,MaxTakeoff,D_1+F_U,,1625.8,191.7,
A320-270N,ICAO_B,2,4,Accelerate,MaxTakeoff,D_1_U,,1774.1,210.1,
A320-270N,ICAO_B,2,5,Climb,MaxClimb,D_1_U,3000,,,
A320-270N,ICAO_B,2,6,Accelerate,MaxClimb,D_ZERO,,1853.4,250.0,
A320-270N,ICAO_B,2,7,Climb,MaxClimb,D_ZERO,10000,,,
A320-270N,ICAO_B,3,1,Takeoff,MaxTakeoff,D_1+F_D,,,,
A320-270N,ICAO_B,3,2,Climb,MaxTakeoff,D_1+F_U,1000,,,
A320-270N,ICAO_B,3,3,Accelerate,MaxTakeoff,D_1+F_U,,1566.5,194.9,
A320-270N,ICAO_B,3,4,Accelerate,MaxTakeoff,D_1_U,,1709.6,212.4,
A320-270N,ICAO_B,3,5,Climb,MaxClimb,D_1_U,3000,,,
A320-270N,ICAO_B,3,6,Accelerate,MaxClimb,D_ZERO,,1783.6,250.0,
A320-270N,ICAO_B,3,7,Climb,MaxClimb,D_ZERO,10000,,,
A320-270N,ICAO_B,4,1,Takeoff,MaxTakeoff,D_1+F_D,,,,
A320-270N,ICAO_B,4,2,Climb,MaxTakeoff,D_1+F_U,1000,,,
A320-270N,ICAO_B,4,3,Accelerate,MaxTakeoff,D_1+F_U,,1469.9,200.4,
A320-270N,ICAO_B,4,4,Accelerate,MaxTakeoff,D_1_U,,1603.2,216.4,
